TARA_7	TARA_9	TARA_18	TARA_23	TARA_25
5006168	17	26	10	30	17
5835179_1	16	25	15	37	14
5835179_2	16	25	15	37	14
2636732_1	14	16	13	27	12
2636732_2	14	16	13	27	12
4280843	13	20	12	33	15
646126	13	17	16	38	15
334272	11	20	13	33	13
5508907_1	13	25	17	32	12
5508907_2	13	25	17	32	12
3485159	10	19	11	34	10
4597319	12	24	12	33	20
1183833	16	24	11	33	15
4409920	18	20	13	33	11
2000444_1	13	25	10	40	12
2000444_2	13	25	10	40	12
2114447	11	23	14	28	11
3586073	10	16	12	28	13
4744359	10	18	12	27	11
4667437	13	22	12	24	12
3456371	11	16	13	35	13
2041111	11	25	13	33	12
3153031	16	17	12	40	13
3306984	15	18	12	29	15
2822097	19	27	12	37	13
5507834	14	21	11	37	16
2044063	18	24	13	37	16
2532367	12	27	14	34	19
2269921	14	21	17	40	12
5494320	16	18	11	29	9
1425050	14	19	10	34	9
2216268	12	24	11	37	11
4383336	12	24	12	31	19
4023594	10	19	9	27	12
1609959	12	25	13	40	10
5482587	16	25	14	38	20
2450536	11	23	13	33	10
117330_1	17	20	16	32	16
117330_2	17	20	16	32	16
5189133	13	21	14	38	19
4817308	14	23	13	26	9
4316666	15	20	13	32	11
2858252	16	25	12	35	14
3315503	13	22	15	36	14
1460152	14	18	12	30	11
1018283	12	23	17	34	14
5236167	18	25	10	39	17
5290120	13	27	14	30	10
2880342	16	27	14	38	14
1367827	15	19	15	37	11
3908968	11	21	9	39	17
6290172	11	22	16	32	9
2243594	13	16	10	38	13
3509932	10	16	12	27	10
3039741	14	19	14	31	15
2896287	11	22	16	30	9
5988547	18	19	10	34	17
1334104	12	24	11	29	14
6406417	11	27	9	33	13
1256090	18	21	17	38	13
617099	11	28	13	33	15
2783892	10	16	14	28	14
5890319	14	19	14	30	10
4026929	14	27	13	41	15
2023885	16	25	11	40	16
1097542	10	18	14	27	9
3843859	12	19	10	35	17
3120777	9	23	13	41	16
5983984	15	25	12	29	14
4827194	12	20	13	41	17
437163	14	21	15	29	19
172380	19	24	11	32	18
1534311	12	19	12	27	16
1741874	11	23	13	32	9
2404681	10	24	14	41	20
1670946	14	24	13	32	16
1806268	16	18	13	34	12
4124143	17	26	12	37	10
74615	10	21	9	36	12
2561529	14	25	14	37	13
1924589	15	23	11	32	15
6124856	14	26	12	30	13
4601281	10	19	15	39	12
1134041	18	20	12	37	13
1643696	11	18	12	34	13
5218939	11	21	9	35	17
3664680	18	26	12	31	9
2753830	12	22	9	32	16
5140237	14	20	15	32	11
5766256	16	26	11	29	13
1669299	16	18	12	27	13
4059590	16	16	12	35	12
3908836	14	24	10	29	17
4856741	16	23	10	38	10
3806265	18	18	11	39	19
3905849	9	23	13	25	9
5638755	15	17	9	30	15
949457	11	20	13	25	14
3997103	10	22	12	27	14
2289647	15	24	10	33	9
6189247	17	24	16	37	16
