TARA_148	TARA_150	TARA_67	TARA_68
78466	9	16	17	18
771148	10	11	16	24
664105	9	11	25	24
6324497	12	15	13	19
6226898	14	16	26	24
6090196	10	9	20	21
5837791	9	13	20	19
5744417	12	10	16	19
5672550	11	9	23	20
5643997	12	9	21	26
5507015	12	15	20	17
5499935	12	13	14	18
5342842_1	15	14	20	18
5342842_2	15	14	20	18
5284408	11	16	20	14
5166522	9	10	23	19
5132008	10	9	14	14
4990301	10	16	18	15
4746432_1	14	15	22	14
4746432_2	14	15	22	14
4351697	9	9	18	17
4186648	10	10	20	19
408555_1	13	11	23	23
408555_2	13	11	23	23
4081268	14	9	25	16
3972895	11	10	19	15
3902713	9	11	20	17
3634102	10	9	14	15
3158761	13	11	19	14
2934040	9	14	20	23
2852735	14	13	21	18
2803164	9	14	17	25
2651055	14	11	19	23
26089_1	11	13	16	23
26089_2	11	13	16	23
2481349	15	17	20	15
2403766	11	12	21	26
2346031	12	11	23	25
233456	12	9	20	20
2263890	12	9	22	24
2192154	10	10	15	26
2078843	15	12	19	14
202023	10	10	18	15
1995004	9	15	18	17
1549630	9	13	27	19
152097	12	9	15	16
2622855	13	10	19	21
1061569	12	12	22	18
5818061	10	9	19	26
4120389	10	10	18	18
38820	9	9	27	19
468636	13	9	23	17
2250216	10	12	22	15
350182	11	11	25	20
4639307	12	11	18	18
5372561_1	10	14	24	21
5372561_2	10	14	24	21
5072117	15	15	16	20
4696255_1	12	13	22	16
4696255_2	12	13	22	16
2629968	12	10	26	15
5905145	9	13	22	14
3833855	12	12	21	22
5457458	12	13	19	22
2939405	12	13	22	22
391878_1	13	13	22	21
391878_2	13	13	22	21
4514711	11	9	23	18
5951402	11	12	22	20
4569373_1	10	13	20	26
4569373_2	10	13	20	26
6616482	13	12	17	21
357982	11	13	19	23
2154563_1	9	11	20	24
2154563_2	9	11	20	24
279132	12	9	20	17
114002	9	10	22	12
5533583	15	14	14	24
2055897	12	14	17	22
1454590	10	10	19	23
889037	13	10	20	19
1290241	12	11	15	21
2040239	11	10	13	23
4518083	9	16	15	21
1198222	13	14	16	17
5156068	11	10	26	20
5838192	10	9	27	22
3304100	9	10	15	23
409103	13	10	15	16
922858	12	14	21	24
4296638	13	16	27	19
4278819	9	11	14	19
363917	12	15	25	20
4848452	12	12	24	21
1097802	16	15	20	18
2681858	9	14	13	18
832460	12	12	21	22
2535240	14	13	16	16
1820584_1	11	9	21	22
1820584_2	11	9	21	22
3020408	10	9	25	20
5493305	12	14	26	20
728209	12	9	19	24
1362114	13	15	25	20
3859585	13	9	17	23
906507	9	11	18	20
5988480	9	15	22	22
5449241	13	9	15	19
