TARA_148	TARA_150	TARA_67	TARA_68
78466	1	1	0	1
771148	0	0	1	0
664105	0	0	1	0
6324497	0	0	1	0
6226898	1	1	0	1
6090196	0	0	1	0
5837791	1	1	0	1
5744417	1	1	0	1
5672550	1	1	0	1
5643997	1	1	0	1
5507015	1	1	0	1
5499935	0	0	1	0
5342842_1	1	1	0	1
5342842_2	1	1	0	1
5284408	0	0	1	0
5166522	1	1	0	1
5132008	1	1	0	1
4990301	1	1	0	1
4746432_1	1	1	0	1
4746432_2	1	1	0	1
4351697	1	1	0	1
4186648	1	1	0	1
408555_1	0	0	1	0
408555_2	0	0	1	0
4081268	1	1	0	1
3972895	0	0	1	0
3902713	1	1	0	1
3634102	1	1	0	1
3158761	0	0	1	0
2934040	0	0	1	0
2852735	1	1	0	1
2803164	1	1	0	1
2651055	0	0	1	0
26089_1	1	1	0	1
26089_2	1	1	0	1
2481349	1	1	0	1
2403766	1	1	0	1
2346031	0	0	1	0
233456	1	1	0	1
2263890	0	0	0	0
2192154	0	0	1	0
2078843	0	0	1	0
202023	0	0	1	0
1995004	1	1	0	1
1549630	0	0	1	0
152097	1	1	0	1
2622855	1	1	0	1
1061569	1	1	0	1
5818061	1	1	0	1
4120389	1	1	0	1
38820	0	0.111111111111111	1	0
468636	1	1	0	1
2250216	0	0.0833333333333333	1	0
350182	0	0	0.96	0
4639307	0	0	0	1
5372561_1	0	0	0.958333333333333	0
5372561_2	0	0	0.958333333333333	0
5072117	0	0	1	0
4696255_1	1	1	0	0.9375
4696255_2	1	1	0	0.9375
2629968	0	0	0.961538461538462	0
5905145	1	0.923076923076923	0	1
3833855	0	0.0833333333333333	1	0
5457458	0	0	1	0
2939405	1	1	0.0454545454545455	1
391878_1	1	1	0.0454545454545455	1
391878_2	1	1	0.0454545454545455	1
4514711	1	1	0.0434782608695652	1
5951402	0	0	0.954545454545455	0
4569373_1	0	0	1	0.0384615384615385
4569373_2	0	0	1	0.0384615384615385
6616482	0	0	1	0
357982	1	1	0	0.956521739130435
2154563_1	0	0	0.95	0
2154563_2	0	0	0.95	0
279132	1	1	0.05	1
114002	1	1	0.0454545454545455	1
5533583	0	0	1	0.0416666666666667
2055897	0	0	1	0.0454545454545455
1454590	1	1	0.0526315789473684	1
889037	1	1	0.05	1
1290241	0	0.0909090909090909	1	0
2040239	0	0	1	0
4518083	1	1	0.0666666666666667	1
1198222	0	0	0.9375	0
5156068	0	0.2	1	0
5838192	1	1	0.037037037037037	1
3304100	0	0	0.933333333333333	0
409103	0	0	0.933333333333333	0
922858	0	0	1	0.0416666666666667
4296638	1	0.9375	0	1
4278819	1	1	0.0714285714285714	1
363917	1	0.866666666666667	0	1
4848452	1	1	0	0.952380952380952
1097802	1	1	0	1
2681858	0	0	0.923076923076923	0
832460	1	1	0	1
2535240	1	1	0	1
1820584_1	1	0.888888888888889	0	1
1820584_2	1	0.888888888888889	0	1
3020408	1	1	0.04	1
5493305	0	0	1	0
728209	0	0	1	0
1362114	1	1	0.08	1
3859585	0	0	0	0.956521739130435
906507	1	1	0	1
5988480	0.333333333333333	0	1	0
5449241	0	0	1	0
6213160	0	0	0.956521739130435	0
4634034	0	0.111111111111111	0.958333333333333	0
6294507	1	1	0.0833333333333333	1
689726	0	0	1	0.0833333333333333
846062	1	1	0.0833333333333333	1
2634399	0	0	0.909090909090909	0
77376_1	0	0.1	1	0.0666666666666667
77376_2	0	0.1	1	0.0666666666666667
514252	0.888888888888889	1	0	1
5519730	0	0	0.91304347826087	0
827458	1	1	0.0909090909090909	1
557956	0	0	0.954545454545455	0
196806	0	0.153846153846154	1	0
802900	1	1	1	0.0434782608695652
1219192_1	0	0	0.9	0
1219192_2	0	0	0.9	0
3022556	0	0	1	0.0588235294117647
4304194	1	0.818181818181818	0	1
1070889	0	0.0714285714285714	0.947368421052632	0
1710694_1	1	0.923076923076923	0	1
1710694_2	1	0.923076923076923	0	1
1710694_3	1	0.923076923076923	0	1
381207	0	0	0.888888888888889	0
1035664	1	1	1	0.0714285714285714
3017787	0	0	0.888888888888889	0
2703924_1	0	0	0.888888888888889	0
2703924_2	0	0	0.888888888888889	0
1575598	0	0.0588235294117647	1	0.05
1368899	0	0	0	0.894736842105263
5722365	0	0	1	0.125
4596823	0	0	0.882352941176471	0
2321549	1	0.181818181818182	0	1
73884	1	1	0.0769230769230769	1
1392161	0	0	0.888888888888889	0
5918116	1	1	0.115384615384615	1
2287775	0	0	0.869565217391304	0
3581579	1	1	0.12	1
3169492	0	0	0.875	0
1229867	1	1	0.125	1
1321589	0	0.214285714285714	1	1
3584746	1	1	1	0.05
5139871	1	1	0.133333333333333	1
5220945	0.0769230769230769	0	0.95	0
1887522	0	0	0.869565217391304	0
3728415_1	0	0.0769230769230769	1	0.0666666666666667
3728415_2	0	0.0769230769230769	1	0.0666666666666667
3707144	1	1	0.142857142857143	1
885544	0	0	0.857142857142857	0
1026923	1	1	0.125	1
557655	1	1	0.0769230769230769	1
3544953	1	1	0	0.958333333333333
398696	1	1	0.130434782608696	1
888320	0	0	1	0.1875
3952591	0.111111111111111	0	1	0.0588235294117647
5457937	1	0.8	0.0526315789473684	1
5832186	1	1	0.0588235294117647	0.95
2367097	1	1	0.16	1
3656892_1	0.9	1	0.08	1
3656892_2	0.9	1	0.08	1
5352711	0	0	0.9	0
6116897	1	1	1	0.15
6108981	1	1	0.148148148148148	1
1825476	0	0.266666666666667	1	0
5672428	0	0	0.85	0
1599929_1	0	0	0.85	0
1599929_2	0	0	0.85	0
