TARA_23	TARA_25	TARA_26	TARA_78	TARA_80
3871142	10	20	10	14	69
4998540	11	18	14	13	77
3221159	10	19	13	10	62
5742081	18	18	15	16	75
5146747_1	17	19	13	17	75
5146747_2	17	19	13	17	75
5396289_1	12	20	16	10	68
5396289_2	12	20	16	10	68
5132254	12	12	9	10	50
6200032	10	17	13	13	58
1138241	18	16	13	14	85
265696	13	18	12	14	55
2753996	11	17	14	16	76
3516014	11	13	11	15	60
2909966	12	19	13	10	48
5242539_1	12	15	10	11	69
5242539_2	12	15	10	11	69
1953180	9	21	11	15	72
2709689	17	15	13	9	75
672178	12	21	15	12	56
2244978	9	14	10	10	54
3227192	12	17	10	18	83
2110644_1	18	20	13	15	82
2110644_2	18	20	13	15	82
2169568	10	17	9	9	68
903134	13	15	13	13	72
623461	11	18	14	9	63
2547582	13	17	9	14	60
1417520	15	16	10	13	77
236644	12	19	9	19	71
5066129	17	17	9	15	52
416105_1	17	17	12	9	65
416105_2	17	17	12	9	65
3041466	12	15	11	17	81
4597574	16	15	9	13	53
920579	13	13	9	14	57
2488122	11	16	13	15	57
3406714	18	18	15	15	77
6034999	13	13	10	15	68
4660215_1	10	16	13	12	64
4660215_2	10	16	13	12	64
2302405	15	21	10	10	63
2413528	14	15	12	11	53
636136	13	11	11	14	52
3706016	9	14	13	12	75
6516092	11	19	13	14	66
1451818	12	19	14	15	71
1302082	15	16	16	13	87
1190287	13	20	15	10	58
4700167	10	11	13	13	49
3390927	13	19	13	16	53
2902399_1	9	14	10	19	53
2902399_2	9	14	10	19	53
3011858	12	13	14	11	52
124728	15	13	14	12	70
5773595	11	18	14	11	54
3153438	10	18	12	10	67
815157	16	20	13	15	84
3176059	15	18	15	14	67
2189785	12	17	14	15	74
1338202	12	15	13	12	73
5665483	10	11	9	16	65
6335693	11	12	10	14	64
3355342	15	16	11	15	74
1692145	10	17	9	16	64
3033841	13	18	13	14	51
3108630	15	16	14	12	75
1482198	14	18	12	17	56
2415433	13	13	10	13	47
2840277	13	14	14	14	75
4095950	11	17	13	15	57
706013	12	19	9	11	68
2088398	11	18	15	10	47
1330454	11	13	9	13	50
3645525	11	21	10	12	60
6189769_1	17	17	10	13	68
6189769_2	17	17	10	13	68
2113189	15	18	12	13	53
3220319	12	16	13	12	61
1390797	9	15	11	10	54
5030844	13	16	13	14	61
4562378_1	11	14	9	16	55
4562378_2	11	14	9	16	55
1291757	10	17	13	13	62
5452353	13	11	14	11	52
3660907	15	15	9	12	53
3159343	11	15	11	9	47
2493282	18	17	11	14	85
825545	12	15	12	11	62
4355787	10	11	12	13	46
1579345	12	16	11	9	61
382168	10	17	10	14	57
1489899	13	14	10	15	69
3139300	13	19	15	13	50
3155384	9	14	11	9	52
960608	9	17	11	15	51
4842564_1	9	17	11	12	55
4842564_2	9	17	11	12	55
6469860	14	14	10	16	72
3971273_1	13	14	10	15	76
3971273_2	13	14	10	15	76
5161819	11	16	16	10	56
4752415	13	11	13	9	50
3096690	12	15	13	11	59
2375017	12	12	9	13	76
3520536	17	12	11	15	51
6459536	16	12	11	9	52
1718232	13	14	9	13	54
3890802	13	18	9	19	64
669860	11	15	10	16	52
3101648	15	16	12	9	63
1188365	9	12	14	14	47
6344100	12	14	11	12	52
1655592	11	19	11	13	73
5715164	16	16	11	13	72
2217685_1	11	11	11	15	50
2217685_2	11	11	11	15	50
2943212	12	20	9	13	63
4658718	14	20	12	10	47
284631	10	16	9	15	76
2133292	15	16	12	16	73
1509725	11	19	9	13	53
4464035	13	13	9	11	48
5572523	11	18	12	13	62
1472062	16	16	14	9	58
4851732	11	12	9	9	49
4907813_1	12	19	12	13	78
4907813_2	12	19	12	13	78
5067119_1	15	18	16	10	69
5067119_2	15	18	16	10	69
1495732_1	9	17	12	10	66
1495732_2	9	17	12	10	66
3678667	14	17	13	15	74
4626986	17	16	14	17	80
198205	16	14	13	10	52
908571	14	13	12	15	46
4118405	12	18	11	19	63
2472733	14	18	9	19	73
1411949	10	16	11	16	81
3015173	11	15	10	10	62
4813482	10	15	12	10	56
1780008	15	17	12	10	59
3958176	15	21	10	14	60
6022814	11	11	12	17	62
2443148	17	15	13	12	74
3675017	10	19	10	12	60
2810870	15	14	9	18	53
4953236	14	14	11	10	52
1143759	13	14	11	17	72
1155478	13	20	10	15	75
4775893	15	11	12	15	48
4361837	10	16	12	18	82
1821081	11	16	15	15	77
1164023	18	16	11	13	69
1566489	12	13	14	11	57
3437786	9	15	10	15	63
3380622	16	12	10	15	49
2258771	12	15	11	12	58
4143406	12	13	13	15	67
2698099	9	15	11	9	63
2272680	10	16	13	12	64
2265413	12	16	11	14	71
3068353	16	18	12	16	77
3725601_1	17	16	13	14	70
3725601_2	17	16	13	14	70
5320722	16	18	15	15	85
3632400	12	15	12	13	70
3406830	16	12	11	9	53
1039707	14	12	12	15	52
2199200	11	18	14	9	47
3303798	18	18	9	15	57
570771	11	18	12	18	75
5423283	11	20	13	9	62
459799	12	17	15	14	70
4249655	10	16	10	18	68
3768707	14	16	11	11	69
5381208	18	15	10	13	68
3104928	12	19	12	9	45
4266135	10	20	12	10	64
3711529	17	11	11	11	47
