TARA_23	TARA_25	TARA_26	TARA_78	TARA_80
3871142	1	1	1	0	0
4998540	0	0	0	1	0.987012987012987
3221159	0	0	0	1	0.983870967741935
5742081	0.222222222222222	0	0	1	0.986666666666667
5146747_1	0.823529411764706	1	0.846153846153846	0	0
5146747_2	0.823529411764706	1	0.846153846153846	0	0
5396289_1	0	0	0	0.7	0.941176470588235
5396289_2	0	0	0	0.7	0.941176470588235
5132254	0.333333333333333	0	0	1	0.96
6200032	0.1	0	0.153846153846154	1	0.948275862068966
1138241	0.111111111111111	0	0.0769230769230769	1	0.941176470588235
265696	1	1	1	0.214285714285714	0.0909090909090909
2753996	0.818181818181818	1	1	0	0.0921052631578947
3516014	0.0909090909090909	0.153846153846154	0	0.933333333333333	0.933333333333333
2909966	0.916666666666667	0.789473684210526	1	0	0.0625
5242539_1	0	0	0	0.636363636363636	0.898550724637681
5242539_2	0	0	0	0.636363636363636	0.898550724637681
1953180	1	1	1	0	0.152777777777778
2709689	0.941176470588235	0.933333333333333	1	0	0.133333333333333
672178	1	1	1	0.0833333333333333	0.214285714285714
2244978	0.222222222222222	0.142857142857143	0.3	1	0.962962962962963
3227192	0	0	0	0.888888888888889	0.843373493975904
2110644_1	0.888888888888889	0.95	1	0.0666666666666667	0.134146341463415
2110644_2	0.888888888888889	0.95	1	0.0666666666666667	0.134146341463415
2169568	1	1	1	0.111111111111111	0.191176470588235
903134	1	1	1	0.230769230769231	0.194444444444444
623461	1	1	1	0	0.253968253968254
2547582	0.230769230769231	0.352941176470588	0.666666666666667	1	1
1417520	0.666666666666667	0.5	0.8	0	0
236644	0.833333333333333	0.842105263157895	1	0	0.140845070422535
5066129	0.882352941176471	0.470588235294118	0.888888888888889	0.133333333333333	0.0384615384615385
416105_1	0.941176470588235	0.941176470588235	1	0.222222222222222	0.215384615384615
416105_2	0.941176470588235	0.941176470588235	1	0.222222222222222	0.215384615384615
3041466	0	0	0.363636363636364	0.882352941176471	0.827160493827161
4597574	0	0.266666666666667	0	0.923076923076923	0.773584905660377
920579	0.230769230769231	0.846153846153846	1	1	0.964912280701754
2488122	0	0.0625	0	0.466666666666667	0.789473684210526
3406714	0.944444444444444	0.888888888888889	0.6	0.333333333333333	0.116883116883117
6034999	0.153846153846154	0.153846153846154	0	0.866666666666667	0.823529411764706
4660215_1	1	1	1	0.333333333333333	0.28125
4660215_2	1	1	1	0.333333333333333	0.28125
2302405	0.2	0.428571428571429	0.6	1	0.968253968253968
2413528	0.5	0	0.166666666666667	1	0.792452830188679
636136	0	0	0	0.714285714285714	0.730769230769231
3706016	0.888888888888889	1	0.846153846153846	0.0833333333333333	0.226666666666667
6516092	0	0	0.0769230769230769	0.428571428571429	0.757575757575758
1451818	0.75	0.473684210526316	0.285714285714286	0	0
1302082	0.333333333333333	0.5625	0.5625	1	1
1190287	0.461538461538462	0.55	0.866666666666667	0	0.0689655172413793
4700167	1	1	1	0.384615384615385	0.306122448979592
3390927	0.615384615384615	0.210526315789474	0.615384615384615	0	0
2902399_1	0.333333333333333	0.428571428571429	0.7	0.0526315789473684	0
2902399_2	0.333333333333333	0.428571428571429	0.7	0.0526315789473684	0
3011858	1	1	1	0.272727272727273	0.403846153846154
124728	1	1	1	0.75	0.342857142857143
5773595	0.818181818181818	0.944444444444444	1	0.363636363636364	0.333333333333333
3153438	1	1	1	0	0.507462686567164
815157	1	1	1	0.466666666666667	0.333333333333333
3176059	1	0.833333333333333	0.466666666666667	1	0.985074626865672
2189785	0.916666666666667	1	1	0.6	0.351351351351351
1338202	0.916666666666667	0.4	0.384615384615385	0.916666666666667	0.945205479452055
5665483	0.1	0.636363636363636	1	0.9375	0.784615384615385
6335693	1	1	1	0.142857142857143	0.453125
3355342	0.133333333333333	0.0625	0.727272727272727	0	0.0675675675675676
1692145	0	0	0	0.75	0.59375
3033841	0.384615384615385	0.777777777777778	0.846153846153846	1	1
3108630	1	1	1	0.333333333333333	0.426666666666667
1482198	0.428571428571429	0.888888888888889	0.75	1	0.964285714285714
2415433	0	0.0769230769230769	0.1	0.692307692307692	0.574468085106383
2840277	0.769230769230769	0.928571428571429	0.857142857142857	0.357142857142857	0.213333333333333
4095950	0.272727272727273	0.235294117647059	0.384615384615385	0.666666666666667	0.87719298245614
706013	0	0	0	0.181818181818182	0.573529411764706
2088398	0.909090909090909	1	0.866666666666667	0.5	0.468085106382979
1330454	0.0909090909090909	0.230769230769231	0	0.384615384615385	0.7
3645525	0	0.285714285714286	0	0.75	0.666666666666667
6189769_1	0	0	0	0.769230769230769	0.426470588235294
6189769_2	0	0	0	0.769230769230769	0.426470588235294
2113189	0	0	0	0.538461538461538	0.509433962264151
3220319	0.416666666666667	0.3125	0.769230769230769	0.333333333333333	0.0819672131147541
1390797	0	0	0	0.2	0.555555555555556
5030844	0.538461538461538	0.9375	0.923076923076923	1	1
4562378_1	1	1	1	0.5625	0.472727272727273
4562378_2	1	1	1	0.5625	0.472727272727273
1291757	0.7	0.235294117647059	0.153846153846154	0.538461538461538	0.741935483870968
5452353	0.230769230769231	0	0	0.636363636363636	0.557692307692308
3660907	0.933333333333333	0.933333333333333	1	1	0.849056603773585
3159343	0	0.133333333333333	0	0.555555555555556	0.531914893617021
2493282	0.5	0.176470588235294	0.0909090909090909	0.142857142857143	0
825545	0.916666666666667	1	0.916666666666667	0.727272727272727	0.419354838709677
4355787	1	1	1	1	0.608695652173913
1579345	0	0	0	0.333333333333333	0.524590163934426
382168	0	0	0	0.0714285714285714	0.473684210526316
1489899	0.307692307692308	0.428571428571429	0.3	0.733333333333333	0.884057971014493
3139300	0	0	0	0.384615384615385	0.12
3155384	1	1	1	0.444444444444444	0.615384615384615
960608	0	0	0	0.133333333333333	0.450980392156863
4842564_1	0	0	0	0.583333333333333	0.454545454545455
4842564_2	0	0	0	0.583333333333333	0.454545454545455
