TARA_146	TARA_147	TARA_148	TARA_152
1051864	17	10	16	19
322646	21	12	23	42
1062489	27	18	14	40
1568553	21	21	13	44
2917258	17	13	13	28
1740075	19	12	14	17
2081002	31	19	30	24
2552412	31	24	25	70
2014705	23	13	22	72
579959	44	23	27	66
324367	24	15	20	64
2091363	27	19	18	57
1052006	19	19	19	34
374556	26	16	20	59
2167698	19	12	14	33
793064	16	12	17	44
2490004	35	16	20	30
1466090	17	14	10	40
619373	20	13	20	14
1823341	26	22	22	77
2677339	31	22	26	40
1055261	26	16	13	27
869260_1	28	17	23	41
869260_2	28	17	23	41
2123821	33	19	18	58
2000613	24	11	16	81
2570758	28	10	22	76
2229231	27	11	10	46
632072	26	15	17	58
1114402	19	24	20	45
2117558_1	22	17	14	38
2117558_2	22	17	14	38
2117558_3	22	17	14	38
1862042	24	9	21	49
1753477_1	19	16	17	71
1753477_2	19	16	17	71
1753477_3	19	16	17	71
2082348	34	20	19	46
1223724	32	24	18	23
2623018	18	11	10	22
748544	15	15	17	40
1896741_1	23	13	27	76
1896741_2	23	13	27	76
1286893	18	11	22	33
253741	31	15	23	34
1365746	18	13	18	50
2727149	33	13	22	23
2563967	19	14	18	64
1699032	31	19	21	46
1871313	30	21	13	37
2567893	33	20	17	47
2907030	28	18	15	37
2715712	27	17	23	68
2164517	27	19	24	53
2747064	35	12	23	17
1401858	23	18	12	25
2298520	33	24	20	54
654423	38	25	18	32
143065	26	21	16	19
951577_1	23	12	16	53
951577_2	23	12	16	53
1277036	32	20	11	31
2076241	43	22	25	62
1463410	31	12	20	44
2678332	29	15	29	63
2885976_1	31	22	32	35
2885976_2	31	22	32	35
1866039	37	21	21	70
2522122	18	12	12	70
842364_1	39	26	29	78
842364_2	39	26	29	78
842364_3	39	26	29	78
2219593	25	18	17	26
929533	37	18	23	56
2835484_1	32	14	22	57
2835484_2	32	14	22	57
2835484_3	32	14	22	57
2212503	28	16	12	63
759951_1	34	23	27	71
759951_2	34	23	27	71
2906229	42	15	29	67
1042739	30	18	22	52
1520932	22	20	18	34
1888666_1	28	20	30	49
1888666_2	28	20	30	49
1757510_1	43	17	25	31
1757510_2	43	17	25	31
2152010	34	15	21	60
450224	38	25	21	78
2531247	25	18	17	62
2180365	25	13	19	31
1406959	17	10	14	55
1572031	34	19	24	44
2154375	28	10	22	73
1580907	41	23	22	55
649974	41	23	28	49
2532085	39	21	23	101
1571266_1	42	21	29	65
1571266_2	42	21	29	65
1461112	32	24	21	68
888850	26	16	18	75
1962168	32	21	15	39
438304	42	22	28	73
1930461	37	20	30	28
665414	36	24	16	76
2671275	21	16	21	27
121616	29	18	14	37
2333392	35	10	23	31
1253929	35	25	31	59
1148557_1	36	25	30	60
1148557_2	36	25	30	60
1731303	33	16	29	56
1587574	31	14	21	50
1803593	17	15	14	41
2577318	35	23	29	58
1913058	24	11	13	51
1780071_1	32	23	16	59
1780071_2	32	23	16	59
1780071_3	32	23	16	59
1390068	35	26	32	48
2552957	37	15	30	62
2005662	16	15	14	41
1921192	26	23	18	57
653170	27	16	21	36
2229107_1	29	11	11	40
2229107_2	29	11	11	40
2229107_3	29	11	11	40
393995	15	22	18	36
831009	30	18	23	35
1894581	20	25	15	69
2937658_1	23	20	15	45
2937658_2	23	20	15	45
832285	18	18	21	29
2659398	18	22	18	105
563267	17	14	22	54
1600966_1	39	15	21	53
1600966_2	39	15	21	53
587444	45	24	34	58
1243326	22	14	21	19
2929077	18	18	20	28
1687978_1	19	16	22	60
1687978_2	19	16	22	60
1747272	18	14	12	45
2183099	29	24	19	54
714509	31	12	11	94
2106614	24	16	25	22
2886083_1	38	20	33	30
2886083_2	38	20	33	30
1745846	34	17	20	62
2672713	40	22	26	68
1190738	16	16	16	36
2458531	31	13	21	41
2556737	37	20	26	59
953796	23	11	19	61
2939810	39	24	29	53
949492	24	11	23	56
2914033	18	15	21	59
1869834	18	13	12	25
942548_1	32	20	26	112
942548_2	32	20	26	112
2276909	26	20	12	51
1552920	24	16	15	48
1786970	33	15	31	49
2668462	32	17	16	76
1575115	26	18	18	89
2648130	39	13	31	64
1744378	37	20	30	97
2891079	36	15	27	55
859192	36	15	21	49
2199271	28	15	18	18
2736955	35	21	21	101
2009079	22	16	15	41
2176660	29	17	21	25
1402537	35	22	17	69
2717869	23	14	20	64
603672	28	14	21	25
