TARA_7	TARA_9	TARA_18	TARA_23	TARA_25
5006168	1	1	1	0.966666666666667	1
5835179_1	0	1	1	0.297297297297297	0.142857142857143
5835179_2	0	1	1	0.297297297297297	0.142857142857143
2636732_1	0.928571428571429	0.1875	0.0769230769230769	0	0
2636732_2	0.928571428571429	0.1875	0.0769230769230769	0	0
4280843	0.153846153846154	0.85	1	1	1
646126	0.307692307692308	0.176470588235294	0.8125	1	1
334272	0.727272727272727	1	0.769230769230769	0.242424242424242	0
5508907_1	0.384615384615385	1	1	0.1875	0.583333333333333
5508907_2	0.384615384615385	1	1	0.1875	0.583333333333333
3485159	1	1	1	0.852941176470588	1
4597319	0.583333333333333	0	0	0	0
1183833	0.6875	0.666666666666667	0	0	0
4409920	0.5	0.7	0	0	0
2000444_1	0.0769230769230769	1	1	0.5	0.0833333333333333
2000444_2	0.0769230769230769	1	1	0.5	0.0833333333333333
2114447	1	1	1	0.5	0.0909090909090909
3586073	0.7	0.4375	0.0833333333333333	0.964285714285714	1
4744359	1	0	0	0.518518518518518	0.636363636363636
4667437	0.846153846153846	0.727272727272727	0.0833333333333333	0.0833333333333333	0.25
3456371	1	0.9375	1	0.257142857142857	0.692307692307692
2041111	1	1	1	0.333333333333333	0.75
3153031	0.25	0.470588235294118	0.833333333333333	1	1
3306984	0.266666666666667	0.611111111111111	1	1	1
2822097	0.894736842105263	0.37037037037037	0.0833333333333333	0.0540540540540541	0
5507834	0.857142857142857	1	1	0.459459459459459	0.0625
2044063	0.333333333333333	0.416666666666667	0.769230769230769	0.972972972972973	1
2532367	0.5	0	0	0	0
2269921	0.571428571428571	0.0476190476190476	0	0	0
5494320	0.125	0.388888888888889	0.181818181818182	0.931034482758621	0.777777777777778
1425050	0.0714285714285714	1	1	0.441176470588235	0.444444444444444
2216268	0.5	1	1	1	1
4383336	0.25	0.541666666666667	0.75	1	1
4023594	0.9	0	0.111111111111111	0.703703703703704	0.583333333333333
1609959	0.166666666666667	0.6	0.846153846153846	1	1
5482587	0.8125	0.36	0.928571428571429	1	1
2450536	0.545454545454545	0.739130434782609	0.769230769230769	0.0606060606060606	0.1
117330_1	0.0588235294117647	0	0.1875	0.6875	0.75
117330_2	0.0588235294117647	0	0.1875	0.6875	0.75
5189133	0	0.19047619047619	0.642857142857143	0.789473684210526	0.894736842105263
4817308	1	0.869565217391304	0.153846153846154	0.769230769230769	0.222222222222222
4316666	0.6	0.1	0.153846153846154	0	0
2858252	0.625	0.44	0.0833333333333333	0	0
3315503	1	1	0.866666666666667	0.416666666666667	0.214285714285714
1460152	0.285714285714286	0.111111111111111	0.416666666666667	0.8	0.909090909090909
1018283	1	1	1	0.382352941176471	0.785714285714286
5236167	0.0555555555555556	0	0	0.666666666666667	0.470588235294118
5290120	0.769230769230769	0.296296296296296	0.0714285714285714	0	0
2880342	0.5	0.777777777777778	0.428571428571429	0.0526315789473684	0
1367827	0.0666666666666667	0.0526315789473684	0	0.621621621621622	0.727272727272727
3908968	0.272727272727273	0.571428571428571	0.111111111111111	0	0
6290172	0.636363636363636	0.318181818181818	0.6875	0.96875	1
2243594	0.692307692307692	0.375	0.2	0.0263157894736842	0.0769230769230769
3509932	0	0	0	0.592592592592593	0.5
3039741	0.357142857142857	0.526315789473684	0.857142857142857	1	1
2896287	0.363636363636364	0.727272727272727	0	0.166666666666667	0
5988547	0.333333333333333	0.578947368421053	0.3	0	0
1334104	0.833333333333333	0.458333333333333	0.636363636363636	0.137931034482759	0
6406417	0.181818181818182	0.555555555555556	0.222222222222222	0	0
1256090	0.555555555555556	0.523809523809524	0.352941176470588	1	1
617099	0	0.785714285714286	0.384615384615385	0.151515151515152	0.133333333333333
2783892	1	0.4375	0.785714285714286	1	1
5890319	0.428571428571429	0	0	0	0
4026929	0.857142857142857	0.407407407407407	0.769230769230769	1	1
2023885	1	0.52	0.909090909090909	1	1
1097542	0	0.166666666666667	0.857142857142857	0.37037037037037	0
3843859	0.75	0.315789473684211	0.7	0.971428571428571	0.882352941176471
3120777	1	0.91304347826087	0.230769230769231	0.853658536585366	0.75
5983984	0.6	0.84	0.0833333333333333	0.206896551724138	0.571428571428571
4827194	0.166666666666667	0.65	0.153846153846154	0.0487804878048781	0
437163	0.214285714285714	0.904761904761905	1	0.586206896551724	0.368421052631579
172380	0.578947368421053	1	1	1	1
1534311	0.25	0.157894736842105	0.916666666666667	0.296296296296296	0.0625
1741874	0.545454545454545	0.869565217391304	1	1	1
2404681	0.8	0.875	1	0.24390243902439	0.45
1670946	0.785714285714286	1	1	0.40625	0.4375
1806268	0.25	0.555555555555556	0.692307692307692	0	0.0833333333333333
4124143	0.529411764705882	0.307692307692308	0.166666666666667	0	0
74615	0.1	0.19047619047619	0.333333333333333	0.833333333333333	0.666666666666667
2561529	0.357142857142857	0.56	0.857142857142857	1	1
