TARA_7	TARA_9	TARA_18	TARA_22	TARA_23	TARA_25
204359	33	58	16	15	14	15
1380479	23	46	12	14	13	9
2802704	39	64	11	16	9	10
5137502	30	52	15	19	12	16
5221030	29	54	16	17	17	9
5693341	31	47	19	16	17	15
1008402	30	53	16	18	11	12
3555381	35	52	17	12	9	10
328160_1	26	49	10	25	11	11
328160_2	26	49	10	25	11	11
4128482	30	58	14	24	9	11
5700697	34	62	13	19	15	13
5096454	22	49	11	22	15	11
1915501	26	44	13	16	12	17
3056327	28	47	11	18	9	16
2863487	33	45	13	16	13	11
255739	35	49	11	21	12	21
5993622	38	61	20	16	26	20
188538	24	47	12	17	10	16
1318341	37	72	20	21	21	13
4990826	31	70	10	24	22	10
1052411	40	68	15	15	26	14
194124	35	67	9	10	10	16
2772134	25	59	9	18	23	10
564036	29	61	14	17	23	9
5979310	33	62	11	20	15	16
5184981	36	56	15	15	14	16
5799705_1	33	57	10	13	21	10
5799705_2	33	57	10	13	21	10
5806554	21	48	9	11	11	18
4928602	40	59	9	17	16	14
5346821	41	59	17	15	20	14
940570	32	46	14	17	20	12
4306233	39	64	17	24	22	18
3479569_1	30	62	13	18	20	9
3479569_2	30	62	13	18	20	9
317219	24	49	18	20	15	9
5820064_1	26	48	12	15	14	19
5820064_2	26	48	12	15	14	19
5820064_3	26	48	12	15	14	19
5447817	22	51	12	19	21	13
2095434	37	56	10	22	11	10
5002138	26	60	12	19	15	15
653071	27	54	14	14	19	18
2243451	37	56	17	19	14	17
3932655	28	52	15	14	11	14
799474	27	44	10	15	14	10
628260	36	59	21	15	20	12
1030002	29	59	9	10	13	22
702126_1	37	54	9	16	10	15
702126_2	37	54	9	16	10	15
1244977	36	49	12	16	16	10
4512675_1	28	55	9	21	11	14
4512675_2	28	55	9	21	11	14
267005	35	65	19	24	21	15
5441495	29	59	18	14	10	17
1036459_1	28	54	10	21	23	12
1036459_2	28	54	10	21	23	12
4238943	24	66	15	25	21	14
4017498	25	49	10	15	22	15
2040666	43	53	9	15	12	10
2536894	26	48	18	13	10	14
3483618	32	61	16	21	15	9
2251836	31	63	16	20	27	10
543039	23	47	10	17	9	16
314096	43	60	9	15	9	16
5028391	34	50	14	14	9	21
6179995	36	69	14	23	26	15
6020676	31	61	22	15	24	12
3146501	36	55	18	17	28	16
823567	36	60	15	20	11	17
5241504	36	52	13	12	15	17
1110673	28	56	16	9	12	22
548443	31	55	12	17	22	19
2978717	21	53	16	15	21	9
5186706	27	66	15	17	27	10
5163022	36	69	18	18	20	16
4894413	36	61	16	25	25	16
3228291	28	52	18	14	10	12
5616212	28	53	14	17	17	21
4260288	26	55	18	19	11	19
144363	32	43	10	23	11	11
4895608	29	63	16	23	21	16
64188	21	54	22	14	16	12
292567	34	64	13	15	18	12
4996653	24	49	11	18	10	15
4985568	38	62	13	17	9	13
4359264	22	69	15	22	25	14
1763284	27	49	11	21	11	10
5200036	31	67	12	16	21	14
2626125	34	40	10	19	11	14
751229	32	57	14	15	21	15
2560714	29	61	15	22	15	9
5703117	31	48	10	12	21	14
316311	42	63	16	20	10	20
2806366	33	63	14	13	19	11
1828206_1	23	51	19	21	13	16
1828206_2	23	51	19	21	13	16
1376933	35	53	15	18	22	10
2618152	39	66	15	15	21	20
3143151_1	37	53	10	20	9	15
3143151_2	37	53	10	20	9	15
6020093	24	50	17	19	20	13
3149957	23	67	17	17	19	14
3534332	29	60	19	19	18	20
4953425	32	56	16	21	21	17
6360127	31	67	10	18	16	22
496389	31	50	17	18	10	21
1769105	39	63	18	22	13	17
2240805	31	57	11	14	21	17
5032396	27	46	10	19	15	17
4355302	39	56	11	10	13	14
663455	32	63	18	25	10	19
869566	41	53	11	17	13	11
376561	27	50	9	15	17	18
5886074	33	57	12	12	15	13
6184360	33	70	14	17	11	19
671881	35	69	21	21	20	10
5377161	24	59	9	24	17	11
6183	34	52	12	9	13	19
6217376_1	27	60	13	22	25	9
6217376_2	27	60	13	22	25	9
5596584	32	69	15	23	23	16
4417064	25	58	16	18	16	13
3227225_1	26	45	16	15	15	12
3227225_2	26	45	16	15	15	12
5766922_1	37	63	13	15	20	20
5766922_2	37	63	13	15	20	20
5869933	33	65	15	21	12	21
820269	33	49	14	16	14	14
5697412	34	58	14	12	20	10
5841649	22	47	12	16	13	11
20058	29	56	16	19	9	16
216784	28	52	9	11	17	17
781450	35	62	11	14	18	14
715153	22	51	9	10	13	16
1263255	28	45	14	17	12	15
5152413	34	61	18	19	22	19
5357463	31	46	17	14	22	9
2225753	29	55	13	12	12	10
340948	35	60	12	11	14	18
5481157	30	68	21	15	27	11
2708486	37	55	13	22	21	14
1007443	31	60	13	14	21	11
4935136	24	59	12	23	14	10
3272443	27	58	17	20	26	10
3141011	33	67	14	19	25	18
107776	30	47	16	9	12	22
3317247	32	55	11	17	10	17
2022656	24	71	17	17	26	12
4230011	28	67	22	23	21	16
929801	24	44	17	16	11	10
278401	30	52	10	14	12	11
312706	32	50	17	22	21	14
6141641_1	24	53	14	17	21	10
6141641_2	24	53	14	17	21	10
37251	32	64	14	16	17	17
5988472	23	59	14	19	11	10
998473	37	59	13	22	25	11
6210273	35	49	17	14	21	10
5141156	42	63	22	22	25	16
1875121	37	59	9	14	18	18
6335615	35	48	17	13	20	16
5160338	27	53	14	12	13	13
1839606	24	58	10	19	20	12
5820034	26	62	10	16	9	14
431275	27	50	12	14	11	10
6335244	34	65	19	19	27	13
5208825	32	70	9	17	18	16
2188474	29	56	13	18	28	14
5458792	29	44	10	15	14	11
4930624	37	67	11	17	23	13
2605169	30	51	17	13	15	14
5276072	32	64	18	13	12	12
871784	39	65	18	22	24	13
4991882	28	62	22	18	23	13
5192989	30	41	18	16	12	13
4283495	32	53	22	11	21	15
2511562	41	69	18	18	23	15
5521629	27	71	17	19	22	11
5625256	26	57	22	18	25	18
1996657	35	57	12	11	21	11
5157130	28	68	20	15	21	20
782713	28	62	20	14	12	11
6580220	29	60	18	16	26	11
3532071	38	70	11	21	24	16
4247023	24	51	12	9	11	9
2190572	38	65	19	15	15	11
72375	35	67	10	14	22	20
622064	35	61	13	18	16	9
5484674	27	65	10	21	18	17
506550	28	51	13	23	21	11
194428	30	51	15	19	10	20
1304262	29	61	12	16	16	11
279713	39	62	15	18	16	10
331551	24	68	15	21	25	17
1473277	38	55	13	18	10	10
5481879	35	63	21	17	16	17
4361597	31	60	10	24	16	16
5665267	27	56	22	18	15	11
2131645	31	51	10	13	13	20
5871551_1	23	63	15	22	12	13
5871551_2	23	63	15	22	12	13
775258	35	64	14	21	28	16
1840668	28	53	14	15	18	10
5438952	24	64	12	16	17	13
253110_1	36	54	9	19	10	17
253110_2	36	54	9	19	10	17
5733027	37	42	15	18	11	14
4226116	36	65	19	18	27	17
2091492_1	33	53	22	21	18	12
2091492_2	33	53	22	21	18	12
548984	35	63	12	23	9	12
4956170	26	69	11	22	28	12
92845	40	50	12	18	12	18
2797652	30	49	14	12	18	10
1044605	36	65	9	17	10	14
948362	42	55	17	12	10	10
642450	29	63	14	23	26	10
1243023	37	68	13	16	25	15
756350_1	30	60	17	9	9	21
756350_2	30	60	17	9	9	21
5643081	34	49	14	15	12	17
337786_1	24	45	16	14	18	11
337786_2	24	45	16	14	18	11
2163250	33	56	15	24	16	14
2374042	35	60	12	21	28	19
1911495	30	65	15	24	21	13
335288	34	66	12	20	11	13
358286	28	53	17	19	26	18
6215207	26	70	22	17	21	16
567088	34	61	19	10	12	18
834953	41	70	19	17	25	18
5333957	33	60	12	16	14	15
1075414	30	53	16	9	17	12
5220120	23	52	10	12	12	22
1312824	35	64	17	13	11	11
546124	28	55	10	19	23	19
3133114	27	56	16	17	17	13
246990	38	56	17	23	9	18
5723025	26	50	19	13	19	11
4930025	33	55	15	24	20	14
1019856	26	62	15	17	10	16
2078733	25	66	9	12	16	13
2749185	28	56	10	18	16	10
83657	34	61	19	12	10	9
2707165	23	53	9	15	24	10
2509754	37	58	16	21	11	13
1028487	35	47	13	14	10	21
5089212	28	66	17	17	20	19
5632051	29	60	22	22	25	11
42672	32	57	12	17	28	18
1960187	34	53	11	12	10	14
1769753_1	30	52	16	15	16	19
1769753_2	30	52	16	15	16	19
551437	34	64	17	13	9	21
4649902	26	55	9	24	9	13
96822	33	72	18	16	18	12
4953103	39	65	12	14	12	19
2123242	34	64	16	25	9	15
3217148	26	59	18	20	27	14
2655113	35	60	20	18	24	13
1597293	26	58	15	25	18	14
2738774	34	55	10	14	10	15
806166_1	30	61	10	22	15	19
806166_2	30	61	10	22	15	19
130240	30	69	13	19	17	18
4806493	36	46	9	14	14	10
3540998	39	67	14	17	10	16
1212968	28	55	13	14	23	17
2547091	34	51	12	13	16	19
5174439	33	53	21	11	12	9
4951221	26	71	18	18	23	19
1904029	24	53	13	17	25	10
110853	36	71	11	22	24	10
222728	25	55	19	15	25	15
5164491	24	45	9	19	10	18
5214624	24	54	17	12	12	20
5187338	25	62	17	24	22	16
280413	31	43	9	23	10	18
217829	30	56	14	15	18	21
237728	29	65	21	17	22	17
33646	32	55	21	11	10	10
2164644	36	56	10	13	17	11
695461	24	45	12	9	15	17
1473968	24	61	9	11	11	12
6067198	22	46	18	18	14	10
1334244	25	53	16	11	23	14
5098124	32	62	14	25	9	16
1508561	25	63	15	20	28	13
4591985	26	70	18	24	26	17
2627554	35	58	17	23	21	14
5221527	42	66	10	17	9	16
3816942	29	59	12	18	25	14
3309711	32	58	16	21	21	10
5757533	25	55	16	10	11	9
5273854	34	60	9	14	22	11
6007408	25	55	14	11	19	18
6008383_1	31	54	9	25	13	13
6008383_2	31	54	9	25	13	13
36013	33	46	12	16	14	9
410749	37	47	13	10	11	19
5175129	28	51	10	20	12	16
4336111	35	57	9	17	9	16
4953242	29	62	9	9	12	17
5708907	31	56	19	19	27	15
87871	26	55	10	15	17	9
84642_1	34	54	14	20	25	16
84642_2	34	54	14	20	25	16
1831494	24	53	18	11	14	14
1748305	27	50	17	16	20	10
5385592	31	55	20	14	23	11
631806	21	50	14	16	12	10
2482601	35	62	10	16	13	13
231736	35	61	20	21	20	21
767582	29	60	12	21	23	14
5716758_1	32	44	14	12	11	19
5716758_2	32	44	14	12	11	19
5982708	30	71	16	21	21	11
134623	27	56	10	16	9	12
1776547	39	52	16	11	10	13
5307792	27	70	21	20	28	17
7127_1	37	69	11	16	9	21
7127_2	37	69	11	16	9	21
7127_3	37	69	11	16	9	21
2819617	34	68	10	17	10	16
5225619_1	34	60	19	18	18	13
5225619_2	34	60	19	18	18	13
5140730	29	48	17	16	17	18
3658727	22	53	14	10	10	10
1818987	30	67	21	21	19	17
6045929	28	53	9	18	25	13
3252896	30	62	11	17	12	9
268389	38	65	11	20	25	15
197526	27	42	11	21	11	18
4222921	26	57	19	11	15	10
3834558	32	67	11	17	14	11
745195	30	54	11	16	21	15
689512	27	53	18	20	23	9
712504	27	53	14	12	24	17
779456	27	67	16	22	20	11
4415440	37	64	12	18	12	11
1559853_1	31	49	14	10	10	19
1559853_2	31	49	14	10	10	19
498939	35	50	17	22	13	15
4320911	37	67	13	19	25	14
49743	35	52	12	12	12	13
794819	27	55	9	10	23	10
1313959	27	46	9	15	14	19
5610999	29	50	13	20	13	13
260468	33	54	13	13	10	17
2007038	24	57	13	13	17	20
65364	30	56	20	23	12	13
1788263	30	58	18	13	17	14
5721875	32	54	16	12	11	19
5062260	28	66	14	25	17	13
8206	32	62	11	15	10	18
2230512	24	58	17	20	14	17
1181021	34	63	18	22	13	12
805214	24	56	13	23	14	13
309080	21	57	16	12	11	12
1006101	30	66	9	20	18	10
126166	28	61	12	10	9	16
6390074	35	66	9	13	28	10
649906	34	62	10	18	20	9
1473609	23	49	19	21	11	11
3534934	26	54	14	22	25	12
362231	28	48	18	20	19	18
724341	25	40	12	17	13	10
34355	34	56	13	17	17	20
694320	23	53	13	22	13	15
1796504	36	47	9	11	12	15
327282	40	70	22	14	25	12
883346	29	47	18	13	11	14
2513034	23	55	16	23	15	11
4273089	41	65	11	19	9	12
924210	27	52	9	21	12	9
522820_1	33	41	9	13	10	22
522820_2	33	41	9	13	10	22
5873629	31	65	12	14	25	17
1399203	30	63	12	22	10	15
490586	33	65	19	23	26	14
959606	31	69	18	13	15	15
2011081	32	62	14	12	17	15
1216281	23	59	9	16	24	16
410486	33	63	18	20	28	16
47110	38	50	15	9	11	13
2310348	24	52	20	15	17	14
792941	28	63	16	12	16	15
338482	35	66	13	20	28	17
163751	32	66	14	19	9	17
165498	32	52	15	17	12	9
5400468	38	65	9	19	28	10
480272	27	43	9	14	12	12
664243	30	60	22	16	17	14
2540780	35	55	17	22	15	11
2220423	25	54	16	13	13	19
1959102	29	59	14	15	22	21
2028294	33	68	11	21	21	14
4916477	36	66	15	13	17	13
2632873	28	57	11	14	11	10
942533	29	46	10	15	9	15
2151821	36	67	17	16	13	16
3817581	32	59	10	22	21	9
864096	32	50	13	14	11	11
4951722	25	56	17	15	22	10
5628203	34	67	13	22	17	13
2899534	41	65	11	19	26	15
5059098	22	61	14	11	11	14
2532698	40	65	16	16	27	10
6134852	30	53	20	15	20	11
5816742	30	46	13	19	16	11
1052086_1	25	61	18	14	18	10
1052086_2	25	61	18	14	18	10
1892437	24	47	14	11	12	10
5477752	28	62	15	17	15	17
29804	42	51	13	15	9	10
1500213	27	48	12	13	11	10
44083	34	71	20	19	23	10
5003626	34	52	11	15	19	17
855125	37	49	16	18	10	17
418894_1	30	62	13	16	17	9
418894_2	30	62	13	16	17	9
418894_3	30	62	13	16	17	9
2242684	26	50	21	13	16	15
4196611	38	64	16	21	24	12
161310	30	44	16	9	13	14
1986479	34	52	13	15	16	14
849404	24	48	14	19	12	17
3234416	26	53	9	9	20	12
1134519	40	51	12	11	9	12
5163442	26	57	11	23	13	14
933627	40	66	12	17	13	19
4809311	30	60	10	18	19	9
5339026	24	51	10	19	15	16
134949	36	63	13	22	23	10
5157703	34	55	17	9	9	20
292797	33	62	9	21	12	20
1828482	27	53	11	10	9	20
4750576	25	66	19	25	24	9
2263285	21	47	13	20	16	12
559443	32	59	22	15	24	9
4243518	41	52	13	10	10	10
4968234	30	54	18	16	9	9
200297	26	69	19	25	28	12
4509932	31	47	17	11	20	14
4960954	41	50	11	21	11	12
5181647	30	63	18	20	20	12
2372614	40	50	12	17	9	22
1195721	34	65	15	12	21	14
1714251	36	55	11	20	13	15
560380	35	67	14	15	24	10
2061714	38	65	20	25	26	9
1220158	42	67	16	17	26	16
2663526	29	67	16	15	23	16
4371472	26	54	17	20	16	15
469226	32	66	19	19	25	16
5722123	25	59	17	12	18	12
844029	25	57	15	12	19	15
781044	32	63	15	22	13	20
3651382	27	66	19	16	25	17
1767046	30	56	10	24	26	11
4818388	28	61	14	24	24	15
2523604_1	31	55	14	22	15	12
2523604_2	31	55	14	22	15	12
5035521	23	59	17	19	20	15
5357580	28	52	13	16	27	12
132248_1	26	47	22	17	11	12
132248_2	26	47	22	17	11	12
363015	35	58	22	14	27	16
4217031	35	47	10	22	15	16
18929	39	62	11	10	15	12
279162	35	40	13	14	9	16
3694669	32	69	20	14	22	11
324569	24	57	18	12	10	12
5158354	32	68	12	13	16	10
5144683	38	65	10	9	12	17
5766597	29	56	17	12	16	12
3461074	26	54	16	16	17	17
1865878	26	59	17	17	14	10
1612305	27	56	18	20	22	14
1222794	31	58	9	16	9	9
3640576	33	58	15	19	24	16
655941	35	55	11	17	9	13
11285	33	61	11	16	9	20
3429283	33	56	16	20	21	15
5750241	29	61	16	15	13	20
912903	39	68	13	13	26	10
5837093	32	49	14	15	19	17
1122866	29	56	22	21	12	12
97065_1	37	68	14	15	14	13
97065_2	37	68	14	15	14	13
97065_3	37	68	14	15	14	13
2649898	22	64	11	17	18	10
2793154	35	67	19	19	26	13
2276008	22	49	9	12	19	9
931428	26	56	15	15	13	12
5102858	36	64	20	18	26	15
4597531	31	69	10	12	18	17
465803	29	64	11	18	23	10
89915_1	36	55	11	13	19	11
89915_2	36	55	11	13	19	11
3165387_1	37	51	13	14	17	20
3165387_2	37	51	13	14	17	20
620549	35	67	21	14	27	16
784621	24	50	12	19	14	11
401179	28	72	16	20	28	20
5262190	29	68	14	18	28	21
372447	27	55	9	11	16	15
5656353	27	60	16	18	27	11
6209953	27	51	20	10	10	20
5244764	35	69	15	20	12	15
1159188	27	57	10	17	18	16
4967710	24	60	10	17	26	11
484868	40	70	21	15	21	9
5119264	32	63	11	21	24	15
161475	26	61	15	9	9	18
663002	38	62	17	20	22	12
91352	25	48	17	15	23	9
4940243	24	57	12	21	22	16
1333818	33	61	18	12	20	13
5175621	36	60	19	19	11	18
753517	32	47	13	14	12	18
4241149	32	57	10	23	11	13
631898	33	54	10	23	15	14
3556958	27	55	14	14	12	12
270649	36	60	19	13	23	10
755300	29	47	18	12	11	9
2275045	28	62	18	14	21	18
4940921	24	60	18	15	15	13
2203424	34	60	16	24	20	15
1141866_1	30	69	14	14	28	9
1141866_2	30	69	14	14	28	9
1546368	34	63	9	11	19	19
3527146	24	58	19	16	20	18
496408	28	55	16	15	25	9
3457286	35	59	22	13	9	20
753923	25	53	12	22	11	9
5100987	25	52	20	14	9	19
5829463	25	49	12	13	11	9
5887059	31	50	17	9	19	17
2099349	42	61	9	10	10	15
5916421	39	65	9	18	21	15
2204411	35	64	14	19	9	13
5143188	21	52	20	15	20	10
908104	26	53	11	18	17	10
5520962	27	50	13	16	17	9
4347257	33	55	18	10	11	9
4939942	32	64	9	14	11	11
725960	28	51	14	11	11	13
5010159	25	52	22	11	13	10
4903227	31	61	15	11	16	13
3311669	26	51	10	16	23	9
942363	32	54	18	21	12	12
2177437	36	65	9	20	11	18
797207	26	55	10	16	11	13
5815964	28	50	21	20	14	9
2157501	31	58	13	19	10	17
3241180_1	31	63	16	11	16	16
3241180_2	31	63	16	11	16	16
5163050	30	58	11	14	18	19
42299	39	50	17	17	13	13
973440	32	61	9	17	13	15
387405	25	49	14	16	10	12
5180225	30	65	19	23	26	18
2519102	23	60	21	19	14	16
5821160	29	48	11	15	21	13
2973832	38	70	22	16	24	11
309846	28	63	13	21	11	18
1718915	35	58	18	18	27	11
2726314	29	57	14	15	20	20
4232526	33	70	15	15	14	12
259865	36	66	15	14	11	13
5027004	25	58	10	13	14	16
2278750	35	49	20	15	16	13
4037508	31	67	12	25	22	9
3045997_1	41	63	20	20	28	12
3045997_2	41	63	20	20	28	12
