TARA_146	TARA_147	TARA_148	TARA_152
1051864	0.117647058823529	0	0	1
322646	1	1	1	0.976190476190476
1062489	1	1	1	0.225
1568553	1	1	1	0.272727272727273
2917258	0	0	0	0
1740075	1	1	1	0.352941176470588
2081002	1	1	1	0.375
2552412	0.967741935483871	0.916666666666667	0.8	0.2
2014705	1	1	1	0.305555555555556
579959	0.954545454545455	1	1	0.318181818181818
324367	0.875	0.933333333333333	0.85	0.15625
2091363	1	0.894736842105263	1	0.298245614035088
1052006	0.631578947368421	0.368421052631579	0.105263157894737	0.941176470588235
374556	0.961538461538462	1	1	0.355932203389831
2167698	1	0.5	0.857142857142857	0.272727272727273
793064	0.875	0.833333333333333	0.764705882352941	0.113636363636364
2490004	0.828571428571429	0.9375	0.9	0.166666666666667
1466090	1	1	1	0.4
619373	0.25	0.0769230769230769	0.8	0.928571428571429
1823341	0	0	0	0.597402597402597
2677339	0	0	0	0.55
1055261	0	0	0	0.555555555555556
869260_1	0	0.0588235294117647	0	0.585365853658537
869260_2	0	0.0588235294117647	0	0.585365853658537
2123821	0	0	0	0.586206896551724
2000613	0.625	0.545454545454545	0.1875	0.0493827160493827
2570758	0.714285714285714	0.7	0.636363636363636	0.0921052631578947
2229231	0	0	0	0.58695652173913
632072	0	0	0	0.0344827586206897
1114402	0.421052631578947	0.291666666666667	0.7	1
2117558_1	0.363636363636364	0.588235294117647	0.571428571428571	0.973684210526316
2117558_2	0.363636363636364	0.588235294117647	0.571428571428571	0.973684210526316
2117558_3	0.363636363636364	0.588235294117647	0.571428571428571	0.973684210526316
1862042	0.291666666666667	0.222222222222222	0.380952380952381	0.897959183673469
1753477_1	0.631578947368421	0.75	0.352941176470588	0.0704225352112676
1753477_2	0.631578947368421	0.75	0.352941176470588	0.0704225352112676
1753477_3	0.631578947368421	0.75	0.352941176470588	0.0704225352112676
2082348	0.264705882352941	0.3	0.263157894736842	0.891304347826087
1223724	0.34375	0.0833333333333333	0.277777777777778	0.956521739130435
2623018	0.0555555555555556	0.0909090909090909	0.1	0.636363636363636
748544	0.133333333333333	0.466666666666667	0.176470588235294	0.8
1896741_1	0.565217391304348	0.692307692307692	0.518518518518518	0.0263157894736842
1896741_2	0.565217391304348	0.692307692307692	0.518518518518518	0.0263157894736842
1286893	1	1	0.954545454545455	0.393939393939394
253741	0.483870967741935	0.4	0.260869565217391	1
1365746	0	0	0	0.56
2727149	0.0303030303030303	0.153846153846154	0.136363636363636	0.739130434782609
2563967	0.421052631578947	0.214285714285714	0.166666666666667	0.859375
1699032	0.838709677419355	0.894736842105263	0.857142857142857	0.239130434782609
1871313	0.0333333333333333	0	0	0.567567567567568
